SortChem_#,Site,Date,Depth (m),Corrected_Chl_ug/l,Total_Chl_ug/l,Pheo_ug/l,NH4OPA_uM,NH4 Indol_uM,PO4_uM,NO3_uM,TDN_uM,TN_uM,TP_uM,TDP_uM,PP-ug/l,PP_uM,PN-ug/l,PN_uM,PC-ug/l,PC_uM,DOC_uM,DIC_uM,Alk_meqL,SO4_uM,Cl_uM,Ca_uM,Mg_uM,Na_uM,K_uM,Si_uM,Notes
2000-0319,Galbraith lake survey lake # 14,13-Jul-2000,0,.,5.70,.,10.048,7.580,0.406,.,.,.,.,.,.,.,.,.,.,.,218,.,1.957,0.00,8.11,1329.84,170.30,44.80,9.97,.,High value for ammonium backed up by value from phenol method (7.58uM)
2000-0320,Galbraith lake survey lake # 17,13-Jul-2000,0,.,1.80,.,0.049,.,0.521,.,.,.,.,.,.,.,.,.,.,.,332,.,2.240,0.00,11.95,865.77,333.61,97.87,26.09,.,
2000-0321,Galbraith lake survey lake # 18,13-Jul-2000,0,.,4.03,.,0.014,.,0.234,.,.,.,.,.,.,.,.,.,.,.,89,.,2.135,0.00,9.16,1327.35,298.23,55.24,8.18,.,
2000-0322,Galbraith lake survey lake # 19,13-Jul-2000,0,.,2.92,.,0.066,.,0.303,.,.,.,.,.,.,.,.,.,.,.,80,.,2.191,0.00,9.42,1297.41,307.69,54.81,8.18,.,
2000-0323,Galbraith lake survey lake # 20,13-Jul-2000,0,.,2.29,.,0.021,.,0.162,.,.,.,.,.,.,.,.,.,.,.,269,.,0.369,45.49,15.26,212.08,298.23,131.80,28.39,.,
2000-0312,Galbraith lake survey lake # 3,13-Jul-2000,0,.,0.78,.,0.036,.,0.672,.,.,.,.,.,.,.,.,.,.,.,197,.,2.328,111.46,3.95,785.93,400.25,56.55,18.93,.,
2000-0313,Galbraith lake survey lake # 4,13-Jul-2000,0,.,0.41,.,0.017,.,0.168,.,.,.,.,.,.,.,.,.,.,.,178,.,1.833,111.61,5.89,698.60,281.37,21.75,21.48,.,
2000-0314,Galbraith lake survey lake # 5,13-Jul-2000,0,.,0.88,.,.,0.044,1.258,.,.,.,.,.,.,.,.,.,.,.,187,.,2.041,323.55,2.01,673.65,390.79,69.60,19.69,.,Ammonium value from Phenol method not OPA
2000-0315,Galbraith lake survey lake # 6,13-Jul-2000,0,.,0.61,.,0.031,.,0.838,.,.,.,.,.,.,.,.,.,.,.,160,.,2.207,32.65,12.29,773.45,382.56,74.38,24.04,.,
2000-0316,Galbraith lake survey lake # 7,13-Jul-2000,0,.,0.65,.,0.036,.,1.102,.,.,.,.,.,.,.,.,.,.,.,262,.,2.239,325.53,2.13,778.44,396.96,183.12,35.55,.,
2000-0317,Galbraith lake survey lake # 8,13-Jul-2000,0,.,2.87,.,0.061,.,0.349,.,.,.,.,.,.,.,.,.,.,.,138,.,1.966,299.07,1.73,998.00,198.27,35.23,7.42,.,
2000-0318,Galbraith lake survey lake # 9,13-Jul-2000,0,.,6.00,.,0.021,.,0.390,.,.,.,.,.,.,.,.,.,.,.,157,.,1.885,0.00,0.00,945.61,185.11,31.32,7.16,.,
2000-0330,Fog 2,14-Jul-2000,0,.,0.66,.,0.133,.,0.745,.,.,.,.,.,.,.,.,.,.,.,.,.,1.287,51.35,4.31,661.18,115.18,22.62,8.70,.,
2000-0331,Fog 2,14-Jul-2000,1,.,0.48,.,0.039,.,0.333,.,.,.,.,.,.,.,.,.,.,.,.,.,1.313,52.66,2.85,711.08,115.59,22.62,8.70,.,
2000-0332,Fog 2,14-Jul-2000,3,.,0.63,.,0.047,.,0.223,.,.,.,.,.,.,.,.,.,.,.,.,.,1.310,51.42,4.19,648.70,115.59,22.18,8.70,.,
2000-0333,Fog 2,14-Jul-2000,5,.,0.67,.,0.041,.,0.383,.,.,.,.,.,.,.,.,.,.,.,.,.,1.314,51.65,3.34,636.23,115.18,21.31,8.18,.,
2000-0334,Fog 2,14-Jul-2000,8,.,1.51,.,0.058,.,0.223,.,.,.,.,.,.,.,.,.,.,.,.,.,1.664,62.35,3.85,848.30,137.80,29.58,9.72,.,
2000-0335,Fog 2,14-Jul-2000,12,.,8.07,.,0.026,.,0.842,.,.,.,.,.,.,.,.,.,.,.,.,.,1.709,62.51,4.43,815.87,144.39,29.58,9.97,.,
2000-0337,I6 Headwaters Lake,17-Jul-2000,1,.,1.00,.,0.211,.,0.494,.,.,.,.,.,.,.,34.60,.,306.97,.,.,.,.,.,.,.,.,.,.,.,
2000-0338,I6 Headwaters Lake,17-Jul-2000,3,.,1.20,.,0.179,.,1.590,.,.,.,.,.,.,.,30.17,.,326.07,.,.,.,.,.,.,.,.,.,.,.,
2000-0339,I6 Headwaters Lake,17-Jul-2000,5,.,0.75,.,0.190,.,0.519,.,.,.,.,.,.,.,26.03,.,260.50,.,.,.,.,.,.,.,.,.,.,.,
,I6 Headwaters Lake Inlet,17-Jul-2000,0.01,.,0.16,.,0.260,.,0.652,.,.,.,.,.,.,.,7.03,.,84.47,.,.,.,.,.,.,.,.,.,.,.,
,I6 Headwaters Lake Outlet,17-Jul-2000,0.01,.,2.34,.,0.230,.,0.074,.,.,.,.,.,.,.,146.03,.,1934.40,.,.,.,.,.,.,.,.,.,.,.,
2000-0354,N2 Fert,17-Jul-2000,0,.,1.07,.,0.105,.,0.399,.,.,.,.,.,.,.,.,.,.,.,.,.,1.630,48.82,7.46,798.40,143.15,10.44,5.88,.,
2000-0355,N2 Fert,17-Jul-2000,1,.,1.27,.,0.064,.,0.109,.,.,.,.,.,.,.,.,.,.,.,.,.,1.651,50.50,8.68,803.39,143.56,10.00,6.14,.,
2000-0356,N2 Fert,17-Jul-2000,3,.,1.11,.,0.051,.,0.160,.,.,.,.,.,.,.,.,.,.,.,.,.,1.639,31.20,4.80,808.38,140.68,16.96,6.91,.,
2000-0357,N2 Fert,17-Jul-2000,5,.,2.39,.,0.053,.,0.371,.,.,.,.,.,.,.,.,.,.,.,.,.,2.488,47.12,6.35,1347.31,230.36,15.22,6.65,.,
2000-0358,N2 Fert,17-Jul-2000,8,.,11.10,.,3.213,.,0.329,.,.,.,.,.,.,.,.,.,.,.,.,.,2.767,44.03,8.17,1434.63,246.40,16.96,7.42,.,
2000-0349,N2 Ref,17-Jul-2000,0,.,0.93,.,0.152,.,0.034,.,.,.,.,.,.,.,.,.,.,.,.,.,1.436,56.99,.,743.51,148.09,10.87,5.63,.,
2000-0350,N2 Ref,17-Jul-2000,1,.,0.72,.,0.172,.,0.210,.,.,.,.,.,.,.,.,.,.,.,.,.,1.350,56.66,11.46,721.06,148.91,9.13,5.63,.,
2000-0351,N2 Ref,17-Jul-2000,3,.,1.04,.,0.137,.,0.132,.,.,.,.,.,.,.,.,.,.,.,.,.,1.587,30.49,5.12,785.93,159.61,45.24,14.07,.,
2000-0352,N2 Ref,17-Jul-2000,5,.,4.50,.,0.053,.,0.153,.,.,.,.,.,.,.,.,.,.,.,.,.,2.531,30.61,6.14,1384.73,244.76,18.70,6.65,.,
2000-0353,N2 Ref,17-Jul-2000,6,.,6.50,.,0.129,.,0.549,.,.,.,.,.,.,.,.,.,.,.,.,.,2.596,34.37,6.44,1384.73,246.81,18.27,6.91,.,
2000-0378,E5,19-Jul-2000,0,.,0.69,.,0.062,.,0.273,.,.,.,.,.,.,.,.,.,.,.,.,.,0.084,0.00,66.28,47.41,13.57,22.62,8.18,.,
2000-0379,E5,19-Jul-2000,1,.,1.50,.,0.052,.,0.246,.,.,.,.,.,.,.,.,.,.,.,.,.,0.087,0.00,4.37,49.90,13.99,5.65,4.86,.,
2000-0380,E5,19-Jul-2000,3,.,1.48,.,0.047,.,1.378,.,.,.,.,.,.,.,.,.,.,.,.,.,0.086,0.00,8.13,49.90,13.57,4.78,4.86,.,
2000-0381,E5,19-Jul-2000,5,.,2.71,.,0.026,.,1.084,.,.,.,.,.,.,.,.,.,.,.,.,.,0.087,0.00,4.64,37.43,13.57,4.35,4.86,.,
2000-0382,E5,19-Jul-2000,8,.,1.48,.,0.050,.,0.330,.,.,.,.,.,.,.,.,.,.,.,.,.,0.089,0.00,0.37,39.92,13.99,27.40,11.76,.,
2000-0383,E5,19-Jul-2000,10,.,1.75,.,0.094,.,0.647,.,.,.,.,.,.,.,.,.,.,.,.,.,0.077,0.00,3.04,44.91,13.57,4.78,5.12,.,
2000-0384,E6,19-Jul-2000,0,.,2.54,.,0.119,.,0.471,.,.,.,.,.,.,.,.,.,.,.,.,.,0.085,0.00,4.58,37.43,15.22,7.83,4.09,.,
2000-0385,E6,19-Jul-2000,1,.,2.45,.,0.131,.,0.235,.,.,.,.,.,.,.,.,.,.,.,.,.,0.084,0.00,3.69,69.86,15.22,8.70,4.09,.,
,E6,19-Jul-2000,2,.,2.38,.,0.175,.,0.096,.,.,.,.,.,.,.,.,.,.,.,.,.,0.082,0.00,43.30,62.38,15.22,13.05,4.86,.,
2000-0424,N1,21-Jul-2000,0,.,1.24,.,0.055,.,0.153,.,.,.,.,.,.,.,.,.,.,.,.,.,1.288,19.13,5.75,611.28,115.18,6.52,8.44,.,
2000-0425,N1,21-Jul-2000,1,.,1.10,.,0.040,.,0.092,.,.,.,.,.,.,.,.,.,.,.,.,.,1.233,19.68,6.31,628.74,115.59,6.52,8.70,.,
2000-0426,N1,21-Jul-2000,3,.,1.04,.,0.052,.,0.088,.,.,.,.,.,.,.,.,.,.,.,.,.,1.299,19.09,5.08,613.77,114.77,6.52,8.44,.,
2000-0427,N1,21-Jul-2000,5,.,2.64,.,0.142,.,0.162,.,.,.,.,.,.,.,.,.,.,.,.,.,1.447,21.82,5.79,673.65,123.41,7.83,9.21,.,
2000-0428,N1,21-Jul-2000,8,.,9.03,.,0.046,.,0.761,.,.,.,.,.,.,.,.,.,.,.,.,.,1.846,27.90,9.41,860.78,152.61,9.13,10.49,.,
2000-0417,Toolik Main,21-Jul-2000,0,.,1.31,.,0.060,.,0.042,.,.,.,.,.,.,.,.,.,.,.,.,.,0.616,15.45,4.08,289.42,61.29,9.57,6.14,.,
2000-0418,Toolik Main,21-Jul-2000,1,.,1.45,.,0.041,.,0.041,.,.,.,.,.,.,.,.,.,.,.,.,.,0.655,16.65,5.60,304.39,62.94,9.57,6.39,.,
2000-0419,Toolik Main,21-Jul-2000,3,.,1.59,.,0.061,.,0.073,.,.,.,.,.,.,.,.,.,.,.,.,.,0.636,15.79,5.79,299.40,61.70,31.32,9.97,.,
2000-0420,Toolik Main,21-Jul-2000,5,.,1.84,.,0.057,.,0.035,.,.,.,.,.,.,.,.,.,.,.,.,.,0.632,16.11,4.95,289.42,62.53,8.70,6.14,.,
2000-0421,Toolik Main,21-Jul-2000,8,.,1.68,.,0.177,.,0.034,.,.,.,.,.,.,.,.,.,.,.,.,.,0.639,16.80,0.00,301.90,62.53,21.31,7.67,.,
2000-0422,Toolik Main,21-Jul-2000,12,.,0.67,.,0.305,.,0.050,.,.,.,.,.,.,.,.,.,.,.,.,.,0.681,17.37,42.75,324.35,67.05,10.87,6.65,.,
2000-0423,Toolik Main,21-Jul-2000,16,.,0.57,.,0.416,.,0.087,.,.,.,.,.,.,.,.,.,.,.,.,.,0.683,17.65,5.19,311.88,67.05,10.87,6.65,.,
2000-0439,NE12,24-Jul-2000,1,.,0.68,.,0.025,.,0.048,.,.,.,.,.,.,.,29.93,.,221.47,.,.,.,1.551,50.94,19.26,785.93,158.78,8.70,5.88,.,
2000-0440,NE12,24-Jul-2000,5,.,1.44,.,.,.,0.097,.,.,.,.,.,.,.,38.17,.,268.90,.,.,.,1.699,50.81,6.32,818.36,167.01,9.13,6.39,.,
2000-0441,NE12,24-Jul-2000,10,.,2.35,.,0.113,.,0.074,.,.,.,.,.,.,.,55.77,.,397.60,.,.,.,1.915,58.08,8.43,948.10,184.29,10.87,7.16,.,
2000-0436,NE9B,24-Jul-2000,1,.,1.58,.,0.109,.,0.043,.,.,.,.,.,.,.,.,.,.,.,.,.,2.050,361.35,34.10,1250.00,357.47,36.97,6.65,.,
2000-0437,NE9B,24-Jul-2000,3,.,1.24,.,0.182,.,0.080,.,.,.,.,.,.,.,.,.,.,.,.,.,2.058,363.60,5.40,1250.00,357.47,36.97,6.65,.,
2000-0438,NE9B,24-Jul-2000,5,.,3.63,.,0.112,.,0.279,.,.,.,.,.,.,.,.,.,.,.,.,.,3.861,712.84,0.00,2070.86,658.17,80.47,9.97,.,
2000-0457,E5,26-Jul-2000,0,.,1.34,.,0.138,.,0.025,.,.,.,.,.,.,.,.,.,.,.,.,.,0.086,0.00,0.37,42.42,13.99,4.78,5.12,.,
2000-0458,E5,26-Jul-2000,1,.,1.61,.,0.006,.,0.014,.,.,.,.,.,.,.,.,.,.,.,.,.,0.125,5.96,3.33,69.86,17.28,5.22,4.86,.,
2000-0459,E5,26-Jul-2000,3,.,1.52,.,.,.,0.050,.,.,.,.,.,.,.,.,.,.,.,.,.,0.087,0.00,1.18,49.90,13.99,5.22,4.60,.,
2000-0460,E5,26-Jul-2000,5,.,1.35,.,.,.,0.029,.,.,.,.,.,.,.,.,.,.,.,.,.,0.084,0.00,0.00,42.42,13.57,4.78,4.60,.,
2000-0461,E5,26-Jul-2000,8,.,1.49,.,0.089,.,0.048,.,.,.,.,.,.,.,.,.,.,.,.,.,0.086,0.00,0.45,117.27,13.99,4.78,5.12,.,
2000-0463,E6,26-Jul-2000,0,.,2.24,.,0.150,.,0.133,.,.,.,.,.,.,.,.,.,.,.,.,.,0.081,0.00,4.01,54.89,15.22,7.83,3.32,.,
2000-0464,E6,26-Jul-2000,1,.,1.83,.,0.078,.,0.022,.,.,.,.,.,.,.,.,.,.,.,.,.,0.083,0.00,4.27,54.89,15.22,8.26,3.58,.,
2000-0465,E6,26-Jul-2000,2,.,.,.,0.284,.,0.104,.,.,.,.,.,.,.,.,.,.,.,.,.,0.085,0.00,7.72,67.37,14.81,7.83,3.58,.,
,I Swamp,27-Jul-2000,1,.,0.77,.,0.053,.,0.353,.,.,.,.,.,.,.,.,.,.,.,.,.,0.429,0.00,2.52,199.60,38.26,16.09,4.86,.,
,I Swamp,27-Jul-2000,3,.,0.82,.,0.027,.,0.088,.,.,.,.,.,.,.,.,.,.,.,.,.,0.240,0.00,3.14,207.09,38.26,3.91,4.09,.,
,I6,27-Jul-2000,1,.,1.15,.,0.167,.,0.061,.,.,.,.,.,.,.,.,.,.,.,.,.,0.364,0.00,3.56,177.15,33.73,14.35,6.91,.,
,I6,27-Jul-2000,5,.,1.11,.,0.156,.,0.103,.,.,.,.,.,.,.,.,.,.,.,.,.,0.361,0.00,3.53,179.64,32.91,3.04,5.88,.,
,I7,27-Jul-2000,1,.,1.27,.,0.101,.,0.082,.,.,.,.,.,.,.,.,.,.,.,.,.,0.372,0.00,3.62,217.07,32.91,9.13,6.39,.,
,I7,27-Jul-2000,5,.,0.82,.,0.079,.,0.110,.,.,.,.,.,.,.,.,.,.,.,.,.,0.369,0.00,249.27,179.64,34.55,11.31,6.91,.,
,I8,27-Jul-2000,1,.,2.15,.,0.025,.,0.075,.,.,.,.,.,.,.,.,.,.,.,.,.,0.600,5.34,40.54,264.47,58.82,22.18,4.09,.,
,I8,27-Jul-2000,5,.,1.91,.,0.008,.,0.039,.,.,.,.,.,.,.,.,.,.,.,.,.,0.567,5.07,14.59,271.96,60.88,16.09,3.32,.,
,I1,28-Jul-2000,1,.,1.19,.,0.200,.,0.020,.,.,.,.,.,.,.,.,.,.,.,.,.,0.249,0.00,0.00,117.27,31.67,10.87,7.16,.,
,I1,28-Jul-2000,5,.,1.44,.,0.187,.,0.011,.,.,.,.,.,.,.,.,.,.,.,.,.,0.250,0.00,2.47,124.75,31.67,12.61,7.42,.,
,I2,28-Jul-2000,1,.,1.21,.,0.067,.,0.021,.,.,.,.,.,.,.,.,.,.,.,.,.,0.233,0.00,0.00,117.27,37.02,3.48,7.42,.,
,I2,28-Jul-2000,5,.,1.21,.,0.201,.,0.034,.,.,.,.,.,.,.,.,.,.,.,.,.,0.233,0.00,0.33,134.73,37.02,4.78,7.42,.,
,I3,28-Jul-2000,1,.,0.99,.,0.112,.,0.009,.,.,.,.,.,.,.,.,.,.,.,.,.,0.223,0.00,0.00,99.80,32.09,3.04,4.60,.,
,I3,28-Jul-2000,3,.,1.16,.,0.031,.,0.009,.,.,.,.,.,.,.,.,.,.,.,.,.,0.222,0.00,0.00,99.80,30.85,12.18,5.37,.,
,I4,28-Jul-2000,1,.,1.68,.,0.127,.,0.018,.,.,.,.,.,.,.,.,.,.,.,.,.,0.166,0.00,0.73,104.79,27.15,2.61,5.37,.,
,I4,28-Jul-2000,3,.,1.74,.,0.039,.,0.017,.,.,.,.,.,.,.,.,.,.,.,.,.,0.195,0.00,0.00,99.80,27.97,11.31,6.14,.,
,I5,28-Jul-2000,1,.,1.34,.,0.081,.,0.016,.,.,.,.,.,.,.,.,.,.,.,.,.,0.211,0.00,1.52,107.29,29.21,8.26,5.88,.,
,I5,28-Jul-2000,5,.,1.34,.,0.048,.,0.021,.,.,.,.,.,.,.,.,.,.,.,.,.,0.160,0.00,132.11,117.27,27.97,3.48,5.63,.,
,N1,31-Jul-2000,0,.,1.46,.,0.056,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.324,20.11,4.92,646.21,117.24,6.52,8.44,.,
,N1,31-Jul-2000,1,.,1.30,.,0.039,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.334,20.27,4.82,623.75,118.88,19.14,10.49,.,
,N1,31-Jul-2000,3,.,1.30,.,0.038,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.334,21.31,5.64,631.24,118.06,6.52,8.44,.,
,N1,31-Jul-2000,5,.,2.00,.,0.085,.,0.004,.,.,.,.,.,.,.,.,.,.,.,.,.,1.351,21.26,6.58,636.23,118.47,7.83,8.70,.,
,N1,31-Jul-2000,8,.,7.53,.,0.063,.,0.029,.,.,.,.,.,.,.,.,.,.,.,.,.,1.831,20.86,5.27,863.27,152.61,23.92,11.51,.,
,N1,31-Jul-2000,12,.,2.74,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.945,20.92,6.64,848.30,157.14,10.00,11.51,.,
,Toolik Main,31-Jul-2000,0,.,0.97,.,0.080,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.587,16.47,6.97,341.82,61.70,9.57,6.65,.,
,Toolik Main,31-Jul-2000,1,.,1.64,.,0.152,.,0.052,.,.,.,.,.,.,.,.,.,.,.,.,.,0.656,16.43,4.95,304.39,63.76,10.44,6.14,.,
,Toolik Main,31-Jul-2000,3,.,,.,0.067,.,0.006,.,.,.,.,.,.,.,.,.,.,.,.,.,0.644,16.36,8.81,286.93,62.53,9.57,6.14,.,
,Toolik Main,31-Jul-2000,5,.,1.76,.,0.043,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.641,16.22,10.34,291.92,61.70,18.70,7.42,.,
,Toolik Main,31-Jul-2000,8,.,0.80,.,0.111,.,0.002,.,.,.,.,.,.,.,.,.,.,.,.,.,0.024,15.76,7.99,299.40,62.11,10.00,6.14,.,
,Toolik Main,31-Jul-2000,12,.,0.58,.,0.373,.,0.007,.,.,.,.,.,.,.,.,.,.,.,.,.,0.673,17.15,5.87,299.40,64.58,10.00,6.65,.,
,Toolik Main,31-Jul-2000,16,.,0.60,.,0.499,.,0.006,.,.,.,.,.,.,.,.,.,.,.,.,.,0.681,18.53,27.45,324.35,64.58,10.44,6.65,.,
,E5,02-Aug-2000,0,.,1.22,.,0.029,.,0.071,.,.,.,.,.,.,.,.,.,.,.,.,.,0.081,0.00,4.66,74.85,13.99,5.22,4.60,.,
,E5,02-Aug-2000,1,.,1.34,.,0.025,.,0.014,.,.,.,.,.,.,.,.,.,.,.,.,.,0.085,0.00,4.24,49.90,13.99,4.78,5.37,.,
,E5,02-Aug-2000,3,.,1.32,.,0.005,.,0.020,.,.,.,.,.,.,.,.,.,.,.,.,.,0.082,2.98,5.02,52.40,13.99,13.92,6.14,.,
,E5,02-Aug-2000,5,.,1.91,.,0.035,.,0.035,.,.,.,.,.,.,.,.,.,.,.,.,.,0.085,3.30,0.03,47.41,13.99,20.44,6.14,.,
,E5,02-Aug-2000,8,.,1.84,.,0.035,.,0.059,.,.,.,.,.,.,.,.,.,.,.,.,.,0.083,0.00,0.00,47.41,15.63,4.78,5.12,.,
,E5,02-Aug-2000,10,.,1.86,.,0.040,.,0.018,.,.,.,.,.,.,.,.,.,.,.,.,.,0.082,3.28,0.22,47.41,15.63,3.91,5.12,.,
,E6,02-Aug-2000,0,.,1.95,.,0.137,.,0.048,.,.,.,.,.,.,.,.,.,.,.,.,.,0.048,0.00,8.55,39.92,15.22,36.54,6.65,.,
,E6,02-Aug-2000,1,.,2.17,.,0.143,.,0.031,.,.,.,.,.,.,.,.,.,.,.,.,.,0.068,0.00,19.26,44.91,15.22,8.26,3.58,.,
,E6,02-Aug-2000,2,.,1.63,.,1.154,.,0.089,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
,I6 Headwaters Lake,02-Aug-2000,1,.,0.98,.,0.065,.,0.010,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
,I6 Headwaters Lake,02-Aug-2000,3,.,1.05,.,0.110,.,0.016,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
,I6 Headwaters Lake,02-Aug-2000,5,.,1.13,.,0.111,.,0.054,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2000-0562,Fog 2,04-Aug-2000,0,.,0.48,.,0.047,.,0.052,.,.,.,.,.,.,.,20.27,.,192.83,.,.,.,1.428,55.68,15.78,698.60,122.99,26.97,9.97,.,
2000-0563,Fog 2,04-Aug-2000,1,.,0.59,.,0.085,.,0.027,.,.,.,.,.,.,.,30.53,.,188.47,.,.,.,1.429,55.39,54.16,698.60,123.41,26.10,8.70,.,
2000-0564,Fog 2,04-Aug-2000,3,.,0.69,.,0.099,.,0.138,.,.,.,.,.,.,.,23.50,.,195.07,.,.,.,1.423,54.78,4.23,698.60,123.41,22.62,8.44,.,
2000-0565,Fog 2,04-Aug-2000,5,.,0.59,.,0.117,.,0.078,.,.,.,.,.,.,.,24.67,.,190.83,.,.,.,1.431,55.31,6.21,711.08,123.41,24.36,8.44,.,
2000-0566,Fog 2,04-Aug-2000,8,.,1.09,.,0.178,.,0.123,.,.,.,.,.,.,.,27.60,.,207.40,.,.,.,1.233,55.54,5.29,698.60,123.41,23.92,8.70,.,
2000-0567,Fog 2,04-Aug-2000,12,.,3.90,.,0.183,.,0.102,.,.,.,.,.,.,.,46.97,.,296.77,.,.,.,1.535,62.68,16.40,848.30,143.97,29.58,10.49,.,
2000-0568,Fog 2,04-Aug-2000,16,.,4.10,.,0.423,.,0.258,.,.,.,.,.,.,.,33.47,.,288.03,.,.,.,1.731,0.00,0.00,848.30,146.44,29.58,10.49,.,
2000-0569,Fog 4,04-Aug-2000,0,.,5.70,.,0.251,.,0.434,.,.,.,.,.,.,.,.,.,.,.,.,.,0.768,73.43,5.27,406.69,77.33,15.66,6.65,.,
2000-0570,Fog 4,04-Aug-2000,1,.,6.83,.,0.243,.,0.048,.,.,.,.,.,.,.,.,.,.,.,.,.,0.598,73.82,3.53,414.17,77.75,16.96,7.16,.,
2000-0571,Fog 4,04-Aug-2000,3,.,6.07,.,0.723,.,0.106,.,.,.,.,.,.,.,.,.,.,.,.,.,0.777,72.43,1.07,411.68,75.69,48.28,9.97,.,
2000-0582,I Swamp,07-Aug-2000,0,.,1.11,.,0.131,.,0.048,.,.,.,.,.,.,.,.,.,.,.,.,.,0.505,2.89,14.41,224.55,43.19,4.78,4.60,.,
2000-0583,I Swamp,07-Aug-2000,1,.,1.41,.,0.160,.,0.150,.,.,.,.,.,.,.,.,.,.,.,.,.,0.508,3.64,9.64,222.06,42.78,6.09,5.12,.,
2000-0584,I Swamp,07-Aug-2000,3,.,1.27,.,0.150,.,0.068,.,.,.,.,.,.,.,.,.,.,.,.,.,0.517,3.70,4.43,244.51,43.19,6.09,5.12,.,
2000-0588,I2,07-Aug-2000,0,.,1.57,.,0.094,.,0.030,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2000-0589,I2,07-Aug-2000,1,.,1.84,.,0.130,.,0.052,.,.,.,.,.,.,.,.,.,.,.,.,.,0.243,3.06,40.03,137.23,37.43,3.48,7.42,.,
2000-0590,I2,07-Aug-2000,3,.,1.01,.,0.108,.,0.056,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2000-0591,I2,07-Aug-2000,5,.,1.47,.,0.094,.,0.050,.,.,.,.,.,.,.,.,.,.,.,.,.,0.239,0.00,14.90,117.27,37.02,3.48,7.16,.,
2000-0592,I2,07-Aug-2000,8,.,0.68,.,0.446,.,0.057,.,.,.,.,.,.,.,.,.,.,.,.,.,0.196,2.97,8.59,119.76,37.43,3.48,7.67,.,
2000-0606,E5,09-Aug-2000,0,.,1.61,.,0.114,.,0.003,.,.,.,.,.,.,.,.,.,.,.,.,.,0.071,3.13,0.00,47.41,15.63,4.35,4.60,.,
2000-0607,E5,09-Aug-2000,1,.,1.74,.,0.173,.,0.005,.,.,.,.,.,.,.,.,.,.,.,.,.,0.080,2.87,10.82,54.89,15.63,4.78,5.12,.,
2000-0608,E5,09-Aug-2000,3,.,1.80,.,0.109,.,0.007,.,.,.,.,.,.,.,.,.,.,.,.,.,0.087,0.00,122.11,62.38,15.63,4.78,5.37,.,
2000-0609,E5,09-Aug-2000,5,.,1.74,.,0.115,.,0.015,.,.,.,.,.,.,.,.,.,.,.,.,.,0.083,0.00,0.80,62.38,15.63,4.78,4.86,.,
2000-0610,E5,09-Aug-2000,8,.,1.60,.,0.140,.,0.038,.,.,.,.,.,.,.,.,.,.,.,.,.,0.084,3.16,2.78,49.90,15.63,17.40,6.91,.,
2000-0611,E5,09-Aug-2000,10,.,1.40,.,0.138,.,0.067,.,.,.,.,.,.,.,.,.,.,.,.,.,0.086,3.00,2.37,59.88,15.63,4.35,5.37,.,
2000-0612,E6,09-Aug-2000,0,.,1.80,.,0.218,.,0.016,.,.,.,.,.,.,.,.,.,.,.,.,.,0.083,0.00,6.68,39.92,14.81,9.13,3.58,.,
2000-0613,E6,09-Aug-2000,1,.,1.93,.,0.117,.,0.345,.,.,.,.,.,.,.,.,.,.,.,.,.,0.085,0.00,20.75,39.92,14.81,8.70,3.58,.,
,E6,09-Aug-2000,2,.,1.82,.,0.310,.,0.086,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2000-0637,E1,11-Aug-2000,1,.,3.37,.,0.050,.,0.390,.,.,.,.,.,.,.,.,.,.,.,.,.,0.910,33.32,7.21,429.14,84.33,20.44,3.84,.,
2000-0638,E1,11-Aug-2000,5,.,4.17,.,0.059,.,0.210,.,.,.,.,.,.,.,.,.,.,.,.,.,0.926,32.94,5.90,.,88.03,60.46,9.21,.,
2000-0639,E1,11-Aug-2000,10,.,1.47,.,7.320,.,0.135,.,.,.,.,.,.,.,.,.,.,.,.,.,0.698,55.39,17.35,673.65,156.31,31.75,5.12,.,
2000-0640,N1,11-Aug-2000,0,.,1.75,.,0.033,.,0.076,.,.,.,.,.,.,.,.,.,.,.,.,.,1.412,28.19,6.00,648.70,122.17,7.39,8.44,.,
2000-0641,N1,11-Aug-2000,1,.,1.51,.,0.094,.,0.184,.,.,.,.,.,.,.,.,.,.,.,.,.,1.361,24.29,6.55,661.18,122.17,7.39,9.97,.,
2000-0642,N1,11-Aug-2000,3,.,1.88,.,0.017,.,0.005,.,.,.,.,.,.,.,.,.,.,.,.,.,1.419,21.82,5.08,656.19,122.17,7.83,8.95,.,
